Mode	Input	Output	Type	Authorization	Note	Example
Off Phone (Cloud/Web)	Official API (SaaS/first-party)		Structured	API keys/OAuth/user consent (depends on service)	Direct integration via documented HTTP/gRPC APIs; high reliability/semantic meaning.	Gmail API: list messages; Calendar API: create event
Off Phone (Cloud/Web)		Official API (SaaS/first-party)	Structured	API keys/OAuth/user consent (depends on service)	Actions executed via server-side APIs; not tied to device UI.	Send email via Gmail API; post message via Slack API
Off Phone (Cloud/Web)	Web fetch + parsing (HTTP + HTML)		Mixed	No special on-device permission; must respect ToS/robots; may require login cookies	UI may change; can break; higher maintenance than official APIs.	Scrape a product page to read price
On Phone (3P app, no root)	Accessibility view tree (AccessibilityNodeInfo via getRootInActiveWindow)		Semi-Structured	User enables Accessibility Service; must declare canRetrieveWindowContent	Provides labeled UI nodes, bounds, states; may miss custom-drawn/OpenGL content; can retrieve windows with FLAG_RETRIEVE_INTERACTIVE_WINDOWS.	Read current screen buttons and text via AccessibilityService
On Phone (3P app, no root)	Accessibility events stream (onAccessibilityEvent)		Semi-Structured	User enables Accessibility Service	Receives UI state-change events (focus/click/text change); good for incremental state tracking and debouncing.	Track when a new chat message appears
On Phone (3P app, no root)	MediaProjection screen capture (VirtualDisplay frames)		Visual	User consent prompt + foreground service type mediaProjection; Android U+ requires FOREGROUND_SERVICE_MEDIA_PROJECTION	Sees exactly what the user sees (pixels). Secure surfaces may be blacked out; some apps block capture; higher bandwidth/latency.	Capture screen frames for VLM/OCR
On Phone (3P app, no root)	NotificationListenerService (posted/removed notifications)		Semi-Structured	User grants notification access (settings); service uses BIND_NOTIFICATION_LISTENER_SERVICE	Can observe notification content/metadata; cannot see in-app UI. Useful for background triggers.	Detect incoming OTP notification
On Phone (3P app, no root)	UsageStatsManager / UsageEvents (app usage timeline)		Structured	User grants “Usage access” (PACKAGE_USAGE_STATS special access)	Can infer foreground app switches and coarse activity; retention is limited to a few days for events.	Detect which app is currently in foreground (coarse)
On Phone (3P app, no root)	Clipboard read/write (ClipboardManager)		Structured	Foreground app or default IME; background clipboard access restricted on Android 10+	Good for quick data transfer, but privacy restrictions apply; Android may auto-clear clipboard.	Copy an address then paste into another field
On Phone (3P app, no root)	App-to-app Intents / deep links (documented)		Structured	Depends on target app exported components / app links; often user gesture required	Most robust when target exposes APIs/deeplinks; limited for arbitrary apps.	Open a map app with geo: URI
On Phone (3P app, no root)		Accessibility node actions (performAction: CLICK, SET_TEXT, etc.)	Semi-Structured	User enables Accessibility Service	Acts on specific UI nodes; some apps don’t implement actions correctly; may need gesture fallback.	Click a button by selector; set text into an EditText
On Phone (3P app, no root)		Accessibility global actions (HOME/BACK/RECENTS)	Semi-Structured	User enables Accessibility Service	System navigation actions; does not require coordinates.	Go home; open recents
On Phone (3P app, no root)		Accessibility dispatchGesture (tap/swipe/scroll by coordinates)	Semi-Structured	User enables Accessibility Service; must declare canPerformGestures	Coordinate-level input; closer to real touch; can be affected by magnification/touch exploration.	Tap at (x,y) when node action fails
On Phone (Instrumentation/UI Automator)	UiAutomator window hierarchy dump (UiDevice.dumpWindowHierarchy -> XML)	Semi-Structured	Instrumented test runner; adb or test harness	Cross-app UI hierarchy extraction for test automation; output is XML; may omit non-standard UI elements.	Dump XML for the current screen	
On Phone (Instrumentation/UI Automator)	UiAutomation.takeScreenshot()	Visual	Instrumented test runner (UiAutomation connection)	Screenshot as Bitmap; mainly for testing; may return null on failure.	Take screenshot during UI test	
